3.0.00.00.00	Despesas Correntes
3.3.90.36.00	Outros Serviços de Terceiros – Pessoa Física
3.3.90.36.01	Condomínios 
3.3.90.36.02	Diárias a Colaboradores Eventuais no País
3.3.90.36.03	Diárias a Colaboradores Eventuais no Exterior
3.3.90.36.04	Comissões e Corretagens
3.3.90.36.05	Direitos Autorais
3.3.90.36.06	Serviços Técnicos
3.3.90.36.07	Estagiários
3.3.90.36.08	Bolsa de Iniciação ao Trabalho
3.3.90.36.09	Salários de Internos em Penitenciárias
3.3.90.36.10	Pró-Labore a Consultores Eventuais 
3.3.90.36.11	Capatazia, Estiva e Pesagem 
3.3.90.36.12	Conferências e Exposições 
3.3.90.36.13	Armazenagem 
3.3.90.36.14	Locação de Imóveis 
3.3.90.36.15	Locação de Bens Móveis e Intangíveis 
3.3.90.36.16	Manutenção e Conservação de Equipamentos
3.3.90.36.17	Manutenção e Conservação de Veículos 
3.3.90.36.18	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.90.36.19	Manutenção e Conservação de Bens Imóveis 
3.3.90.36.20	Fornecimento de Alimentação 
3.3.90.36.21	Serviços de Caráter Secreto ou Reservado 
3.3.90.36.22	Serviços de Limpeza e Conservação 
3.3.90.36.23	Serviços Domésticos 
3.3.90.36.24	Serviços de Comunicação em Geral 
3.3.90.36.25	Serviço de Seleção e Treinamento 
3.3.90.36.26	Serviços Médicos e Odontológicos 
3.3.90.36.27	Serviços de Reabilitação Profissional 
3.3.90.36.28	Serviços de Assistência Social 
3.3.90.36.29	Serviços de Perícias Médicas por Benefícios 
3.3.90.36.30	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.90.36.31	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.90.36.32	Confecção de Material de Acondicionamento e Embalagem 
3.3.90.36.33	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.90.36.34	Fretes e Transportes de Encomendas 
3.3.90.36.35	Encargos Financeiros Dedutíveis 
3.3.90.36.36	Multas Dedutíveis 
3.3.90.36.37	Juros 
3.3.90.36.38	Encargos Financeiros Indedutíveis 
3.3.90.36.39	Multas Indedutíveis 
3.3.90.36.40	Jetons a Conselheiros 
3.3.90.36.41	Diárias a Conselheiros
3.3.90.36.42	Transporte Escolar
3.3.90.36.43	Serviços de Áudio, Vídeo e Foto
3.3.90.36.44	Manutenção de Repartições Sediadas no Exterior 
3.3.90.36.45	Locação de Veículos para Transporte de Cargas
3.3.90.36.99	Outros Serviços de Pessoa Física 
3.3.90.37.00	Locação de Mão-de-obra
3.3.90.38.00	Arrendamento Mercantil
3.3.90.39.00	Outros Serviços de Terceiros – Pessoa Jurídica
3.3.90.39.01	Assinaturas de Periódicos e Anuidades 
3.3.90.39.02	Condomínios 
3.3.90.39.03	Comissões e Corretagens 
3.3.90.39.04	Direitos Autorais 
3.3.90.39.05	Serviços Técnicos Profissionais 
3.3.90.39.06	Capatazia, Estiva e Pesagem 
3.3.90.39.07	Descontos Financeiros Concedidos 
3.3.90.39.09	Armazenagem 
3.3.90.39.10	Locação de Imóveis 
3.3.90.39.12	Locação de Máquinas e Equipamentos 
3.3.90.39.13	Locação de Bens Móveis Tangíveis ou Intangíveis, de Outras Naturezas 
3.3.90.39.14	Manutenção e Conservação de Bens Imóveis 
3.3.90.39.15	Manutenção e Conservação de Máquinas e Equipamentos 
3.3.90.39.16	Manutenção e Conservação de Veículos 
3.3.90.39.17	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.90.39.18	Manutenção e Conservação de Estradas ou Outras Vias 
3.3.90.39.19	Exposições, Congressos e Conferências 
3.3.90.39.20	Festividades e Homenagens 
3.3.90.39.21	Multas Dedutíveis 
3.3.90.39.22	Multas Indedutíveis 
3.3.90.39.23	Juros 
3.3.90.39.24	Encargos Financeiros Dedutíveis 
3.3.90.39.25	Encargos Financeiros Indedutíveis 
3.3.90.39.26	Programa de Alimentação do Trabalhador 
3.3.90.39.27	Fornecimento de Alimentação 
3.3.90.39.28	Serviços de Caráter Secreto ou Reservado 
3.3.90.39.29	Serviços de Energia Elétrica 
3.3.90.39.30	Serviços de Água e Esgoto 
3.3.90.39.31	Serviços de Gás 
3.3.90.39.32	Serviços Domésticos 
3.3.90.39.33	Serviços de Comunicação em Geral 
3.3.90.39.34	Serviço de Seleção e Treinamento 
3.3.90.39.35	Produções Jornalísticas 
3.3.90.39.36	Serviço Médico-hospitalar, Odontológico e Laboratorial 
3.3.90.39.37	Serviços de Análises e Pesquisas Científicas 
3.3.90.39.38	Serviços de Reabilitação Profissional 
3.3.90.39.39	Serviços de Assistência Social 
3.3.90.39.40	Serviços de Creches e Assistência Pré-escolar 
3.3.90.39.41	Serviços de Perícias Médicas por Benefícios 
3.3.90.39.43	Serviços de Telecomunicações 
3.3.90.39.44	Serviços de Áudio, Vídeo e Foto 
3.3.90.39.45	Serviços de Manobra e Patrulhamento 
3.3.90.39.46	Serviços de Socorro e Salvamento 
3.3.90.39.47	Serviços de Produção Industrial 
3.3.90.39.48	Serviços Gráficos 
3.3.90.39.49	Serviços de Apoio ao Ensino 
3.3.90.39.50	Serviços Judiciários 
3.3.90.39.51	Serviços Funerários 
3.3.90.39.52	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.90.39.53	Seguros em Geral 
3.3.90.39.54	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.90.39.55	Confecção de Material de Acondicionamento e Embalagem 
3.3.90.39.56	Vale-Transporte 
3.3.90.39.57	Transporte Escolar 
3.3.90.39.58	Fretes e Transportes de Encomendas 
3.3.90.39.59	Classificação de Produtos 
3.3.90.39.60	Vigilância Ostensiva 
3.3.90.39.61	Limpeza e Conservação 
3.3.90.39.62	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.90.39.63	Hospedagens 
3.3.90.39.64	Serviços Bancários 
3.3.90.39.65	Serviços de Cópias e Reprodução de Documentos
3.3.90.39.66	Serviços em Itens Reparáveis de Aviação
3.3.90.39.67	Serviços Relacionados à Industrialização Aeroespacial 
3.3.90.39.68	Serviços de Publicidade e Propaganda 
3.3.90.39.69	Manutenção de Repartições – Serviço Exterior 
3.3.90.39.70	Aquisição de Softwares de Aplicação 
3.3.90.39.73	Locação de Veículos para Transporte de Cargas
3.3.90.39.99	Outros Serviços de Terceiros – Pessoa Jurídica
3.3.90.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.90.40.01	Locação de Equipamentos de TIC
3.3.90.40.02	Locação de Softwares
3.3.90.40.03	Desenvolvimento de Software
3.3.90.40.04	Manutenção de Software 
3.3.90.40.05	Hospedagens de Sistemas
3.3.90.40.06	Comunicação de Dados
3.3.90.40.07	Suporte a Usuários de TIC
3.3.90.40.08	Suporte de Infraestrutura de TIC
3.3.90.40.09	Serviços Técnicos Profissionais de TIC 
3.3.90.40.10	Manutenção e Conservação de Equipamentos de TIC
3.3.90.40.11	Treinamento e Capacitação em TIC
3.3.90.40.99	Outros Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.90.41.00	Contribuições
3.3.90.43.00	Subvenções Sociais
3.3.90.45.00	Subvenções Econômicas
3.3.90.46.00	Auxílio-alimentação
3.3.90.47.00	Obrigações Tributárias e Contributivas
3.3.90.48.00	Outros Auxílios Financeiros a Pessoas Físicas
3.3.90.49.00	Auxílio-Transporte
3.3.90.59.00	Pensões Especiais
3.3.90.62.00	Aquisição de Produtos para Revenda
3.3.90.67.00	Depósitos Compulsórios
3.3.90.81.00	Distribuição Constitucional ou Legal de Receitas 
3.3.90.86.00	Compensações a  Regimes de Previdência
3.3.90.91.00	Sentenças Judiciais
3.3.90.91.04	Precatórios, exceto de Pessoal e de Benefícios Previdenciários
3.3.90.91.05	Sentença Judicial para Aquisição de Medicamentos
3.3.90.91.06	Sentença Judicial para Aquisição de Outros Insumos e Serviços para Saúde
3.3.90.91.34	Sentenças Judiciais  - Terceirização (Art. 18, §1º, LC101)
3.3.90.91.99	Outras Sentenças Judiciais e Decisões Judiciais
3.3.90.92.00	Despesas de Exercícios Anteriores
3.3.90.93.00	Indenizações e Restituições
3.3.90.93.01	Indenizações e Restituições de Vereadores 
3.3.90.93.02	Indenizações e Restituições de Presidente da Câmara
3.3.90.93.03	Outras Indenizações e Restituições 
3.3.90.95.00	Indenização pela Execução de Trabalho de Campo
3.3.90.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.3.90.98.00	Despesas do Orçamento de Investimento
3.3.90.99.00	A Classificar
3.3.91.00.00	Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social
3.3.91.04.00	Contratação por Tempo Determinado
3.3.91.28.00	Remuneração de Cotas de Fundos Autárquicos
3.3.91.29.00	Distribuição de Resultado de Empresas Estatais Dependentes
3.3.91.30.00	Material de Consumo 
3.3.91.31.00	Premiações Culturais, Artísticas, Científicas, Desportivas e Outras
3.3.91.32.00	Material, Bem ou Serviço para Distribuição Gratuita
3.3.91.33.00	Passagens e Despesas com Locomoção
3.3.91.34.00	Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização - Op. Intraorçamentárias
3.3.91.35.00	Serviços de Consultoria 
3.3.91.36.00	Outros Serviços de Terceiros - Pessoa Física 
3.3.91.37.00	Locação de Mão-de-obra
3.3.91.38.00	Arrendamento Mercantil
3.3.91.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
3.3.91.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.91.41.00	Contribuições
3.3.91.47.00	Obrigações Tributárias e Contributivas
3.3.91.62.00 	Aquisição de Produtos para revenda
3.3.91.86.00 	Compensações a  Regimes de Previdência
3.3.91.91.00	Sentenças Judiciais
3.3.91.92.00	Despesas de Exercícios Anteriores
3.3.91.93.00	Indenizações e Restituições
3.3.91.95.00	Indenização pela Execução de Trabalhos de Campo
3.3.91.96.00	Ressarcimento de Despesas de Pessoal Requisitado
3.3.91.97.00	Aporte para Cobertura do Déficit Atuarial do RPPS
3.3.91.98.00	Despesas do Orçamento de Investimento
3.3.91.99.00	A Classificar
3.3.92.00.00	Aplicação Direta de Recursos Recebidos de Outros Entes da Federação Decorrentes de Delegação ou Descentralização
3.3.92.14.00	Diárias – Pessoal Civil
3.3.92.18.00	Auxílio Financeiro a Estudantes
3.3.92.20.00	Auxílio Financeiro a Pesquisadores
3.3.92.30.00	Material de Consumo
3.3.92.30.01	Combustíveis Automotivos 
3.3.92.30.02	Lubrificantes Automotivos
3.3.92.30.03	Combustíveis e Lubrificantes para Outras Finalidades 
3.3.92.30.04	 Gás Engarrafado 
3.3.92.30.05	Explosivos e Munições 
3.3.92.30.06	Alimentos para Animais
3.3.92.30.07	 Gêneros de Alimentação
3.3.92.30.08	 Animais para Pesquisa e Abate
3.3.92.30.09	 Medicamentos
3.3.92.30.10	 Material Odontológico
3.3.92.30.11	Material Químico
3.3.92.30.12	 Material de Coudelaria ou de Uso Zootécnico 
3.3.92.30.13	 Material de Caça e Pesca 
3.3.92.30.14	Material Educativo e Esportivo
3.3.92.30.15	 Material para Festividades e Homenagens
3.3.92.30.16	 Material de Expediente
3.3.92.30.17	 Material de Processamento de Dados
3.3.92.30.18	 Materiais e Medicamentos para Uso Veterinário
3.3.92.30.19	 Material de Acondicionamento e Embalagem
3.3.92.30.20	Material de Cama, Mesa e Banho
3.3.92.30.21	Material de Copa e Cozinha
3.3.92.30.22	 Material de Limpeza e Produção de Higienização
3.3.92.30.23	 Uniformes, Tecidos e Aviamentos
3.3.92.30.24	 Material para Manutenção de Bens Imóveis
3.3.92.30.25	 Material para Manutenção de Bens Móveis
3.3.92.30.26	 Material Elétrico e Eletrônico
3.3.92.30.27	 Material de Manobra e Patrulhamento
3.3.92.30.28	 Material de Proteção e Segurança
3.3.92.30.29	 Material para Áudio, Vídeo e Foto
3.3.92.30.30	 Material para Comunicações
3.3.92.30.31	Sementes, Mudas de Plantas e Insumos
3.3.92.30.32	 Material Para Produção Industrial
3.3.92.30.33	 Sobressalentes, Máquinas, Motores e Embarcações
3.3.92.30.34	 Material Laboratorial
3.3.92.30.35	 Material Hospitalar
3.3.92.30.36	 Suprimento de Proteção ao Vôo
3.3.92.30.37	 Material para Manutenção de Veículos
3.3.92.30.38	 Material Biológico
3.3.92.30.39	 Material Gráfico
3.3.92.30.40	 Ferramentas
3.3.92.30.41	 Material para Reabilitação Profissional
3.3.92.30.42	Material de Sinalização Visual e Afins
3.3.92.30.43	 Material Técnico para Seleção e Treinamento
3.3.92.30.44	 Material Bibliográfico Não Imobilizável
3.3.92.30.45	 Aquisição de Softwares de Base
3.3.92.30.46	 Bens Móveis Não Ativáveis
3.3.92.30.47	 Bandeiras, Flâmulas e Insígnias
3.3.92.30.99	Outros Materiais de Consumo 
3.3.92.32.00	Material, Bem ou Serviço para Distribuição Gratuita 
3.3.92.32.01	Medicamentos
3.3.92.32.02	Insumos e Serviços para Saúde 
3.3.92.32.99	Outros Materiais, Bens ou Serviços para Distribuição Gratuita
3.3.92.33.00	Passagens e Despesas com Locomoção
3.3.92.34.00	Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização 
3.3.92.35.00	Serviços de Consultoria
3.3.92.36.00	Outros Serviços de Terceiros - Pessoa Física 
3.3.92.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
3.3.92.39.01	 Assinaturas de Periódicos e Anuidades 
3.3.92.39.02	 Condomínios 
3.3.92.39.03	Comissões e Corretagens 
3.3.92.39.04	Direitos Autorais 
3.3.92.39.05	 Serviços Técnicos Profissionais 
3.3.92.39.06	Capatazia, Estiva e Pesagem 
3.3.92.39.07	Descontos Financeiros Concedidos 
3.3.92.39.09	Armazenagem 
3.3.92.39.10	Locação de Imóveis 
3.3.92.39.12	Locação de Máquinas e Equipamentos 
3.3.92.39.13	Locação de Bens Móveis Tangíveis ou Intangíveis, de Outras Naturezas 
3.3.92.39.14	Manutenção e Conservação de Bens Imóveis 
3.3.92.39.15	Manutenção e Conservação de Máquinas e Equipamentos 
3.3.92.39.16	 Manutenção e Conservação de Veículos 
3.3.92.39.17	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.92.39.18	Manutenção e Conservação de Estradas ou Outras Vias 
3.3.92.39.19	Exposições, Congressos e Conferências 
3.3.92.39.20	Festividades e Homenagens 
3.3.92.39.21	Multas Dedutíveis 
3.3.92.39.22	Multas Indedutíveis 
3.3.92.39.23	Juros 
3.3.92.39.24	Encargos Financeiros Dedutíveis 
3.3.92.39.25	Encargos Financeiros Indedutíveis 
3.3.92.39.26	Programa de Alimentação do Trabalhador 
3.3.92.39.27	Fornecimento de Alimentação 
3.3.92.39.28	Serviços de Caráter Secreto ou Reservado 
3.3.92.39.29	Serviços de Energia Elétrica 
3.3.92.39.30	Serviços de Água e Esgoto 
3.3.92.39.31	Serviços de Gás 
3.3.92.39.32	Serviços Domésticos 
3.3.92.39.33	Serviços de Comunicação em Geral 
3.3.92.39.34	Serviço de Seleção e Treinamento 
3.3.92.39.35	Produções Jornalísticas 
3.3.92.39.36	Serviço Médico-hospitalar, Odontológico e Laboratorial 
3.3.92.39.37	Serviços de Análises e Pesquisas Científicas 
3.3.92.39.38	Serviços de Reabilitação Profissional 
3.3.92.39.39	Serviços de Assistência Social 
3.3.92.39.40	Serviços de Creches e Assistência Pré-escolar 
3.3.92.39.41	 Serviços de Perícias Médicas por Benefícios 
3.3.92.39.43	Serviços de Telecomunicações 
3.3.92.39.44	Serviços de Áudio, Vídeo e Foto 
3.3.92.39.45	 Serviços de Manobra e Patrulhamento 
3.3.92.39.46	Serviços de Socorro e Salvamento 
3.3.92.39.47	Serviços de Produção Industrial 
3.3.92.39.48	 Serviços Gráficos 
3.3.92.39.49	Serviços de Apoio ao Ensino 
3.3.92.39.50	Serviços Judiciários 
3.3.92.39.51	Serviços Funerários 
3.3.92.39.52	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.92.39.53	Seguros em Geral 
3.3.92.39.54	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.92.39.55	Confecção de Material de Acondicionamento e Embalagem 
3.3.92.39.56	Vale-Transporte 
3.3.92.39.57	Transporte Escolar 
3.3.92.39.58	Fretes e Transportes de Encomendas 
3.3.92.39.59	Classificação de Produtos 
3.3.92.39.60	Vigilância Ostensiva 
3.3.92.39.61	Limpeza e Conservação 
3.3.92.39.62	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.92.39.63	Hospedagens 
3.3.92.39.64	Serviços Bancários 
3.3.92.39.65	Serviços de Cópias e Reprodução de Documentos
3.3.92.39.66	Serviços em Itens Reparáveis de Aviação
3.3.92.39.67	Serviços Relacionados à Industrialização Aeroespacial 
3.3.92.39.68	Serviços de Publicidade e Propaganda 
3.3.92.39.69	Manutenção de Repartições – Serviço Exterior 
3.3.92.39.70	Aquisição de Softwares de Aplicação 
3.3.92.39.73	Locação de Veículos para Transporte de Cargas
3.3.92.39.99	 Outros Serviços de Terceiros – Pessoa Jurídica
3.3.92.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.92.40.01	Locação de Equipamentos de TIC
3.3.92.40.02	Locação de Softwares
3.3.92.40.03	Desenvolvimento de Software
3.3.92.40.04	Manutenção de Software 
3.3.92.40.05	Hospedagens de Sistemas
3.3.92.40.06	Comunicação de Dados
3.3.92.40.07	Suporte a Usuários de TIC
3.3.92.40.08	Suporte de Infraestrutura de TIC
3.3.92.40.09	Serviços Técnicos Profissionais de TIC 
3.3.92.40.10	Manutenção e Conservação de Equipamentos de TIC
3.3.92.40.11	Treinamento e Capacitação em TIC
3.3.92.40.99	Outros Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.92.92.00	Despesas de Exercícios Anteriores
3.3.92.99.00	A Classificar
3.3.93.00.00	Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Participe  
3.3.93.30.00	Material de Consumo
3.3.93.30.01	Combustíveis Automotivos 
3.3.93.30.02	Lubrificantes Automotivos
3.3.93.30.03	Combustíveis e Lubrificantes para Outras Finalidades 
3.3.93.30.04	 Gás Engarrafado 
3.3.93.30.05	Explosivos e Munições 
3.3.93.30.06	Alimentos para Animais
3.3.93.30.07	 Gêneros de Alimentação
3.3.93.30.08	 Animais para Pesquisa e Abate
3.3.93.30.09	 Medicamentos
3.3.93.30.10	 Material Odontológico
3.3.93.30.11	Material Químico
3.3.93.30.12	 Material de Coudelaria ou de Uso Zootécnico 
3.3.93.30.13	 Material de Caça e Pesca 
3.3.93.30.14	Material Educativo e Esportivo
3.3.93.30.15	 Material para Festividades e Homenagens
3.3.93.30.16	 Material de Expediente
3.3.93.30.17	 Material de Processamento de Dados
3.3.93.30.18	 Materiais e Medicamentos para Uso Veterinário
3.3.93.30.19	 Material de Acondicionamento e Embalagem
3.3.93.30.20	Material de Cama, Mesa e Banho
3.3.93.30.21	Material de Copa e Cozinha
3.3.93.30.22	 Material de Limpeza e Produção de Higienização
3.3.93.30.23	 Uniformes, Tecidos e Aviamentos
3.3.93.30.24	 Material para Manutenção de Bens Imóveis
3.3.93.30.25	 Material para Manutenção de Bens Móveis
3.3.93.30.26	 Material Elétrico e Eletrônico
3.3.93.30.27	 Material de Manobra e Patrulhamento
3.3.93.30.28	 Material de Proteção e Segurança
3.3.93.30.29	 Material para Áudio, Vídeo e Foto
3.3.93.30.30	 Material para Comunicações
3.3.93.30.31	Sementes, Mudas de Plantas e Insumos
3.3.93.30.32	 Material Para Produção Industrial
3.3.93.30.33	 Sobressalentes, Máquinas, Motores e Embarcações
3.3.93.30.34	 Material Laboratorial
3.3.93.30.35	 Material Hospitalar
3.3.93.30.36	 Suprimento de Proteção ao Vôo
3.3.93.30.37	 Material para Manutenção de Veículos
3.3.93.30.38	 Material Biológico
3.3.93.30.39	 Material Gráfico
3.3.93.30.40	 Ferramentas
3.3.93.30.41	 Material para Reabilitação Profissional
3.3.93.30.42	Material de Sinalização Visual e Afins
3.3.93.30.43	 Material Técnico para Seleção e Treinamento
3.3.93.30.44	 Material Bibliográfico Não Imobilizável
3.3.93.30.45	 Aquisição de Softwares de Base
3.3.93.30.46	 Bens Móveis Não Ativáveis
3.3.93.30.47	 Bandeiras, Flâmulas e Insígnias
3.3.93.30.99	Outros Materiais de Consumo 
3.3.93.32.00	Material, Bem ou Serviço para Distribuição Gratuita 
3.3.93.32.01	Medicamentos
3.3.93.32.02	Insumos e Serviços para Saúde 
3.3.93.32.99	Outros Materiais, Bens ou Serviços para Distribuição Gratuita
3.3.93.34.00	Outras Despesas de Pessoal Decorrentes de Contratos de Terceirização 
3.3.93.39.00	Outros Serviços de Terceiros - Pessoa Jurídica 
3.3.93.39.01	 Assinaturas de Periódicos e Anuidades 
3.3.93.39.02	 Condomínios 
3.3.93.39.03	Comissões e Corretagens 
3.3.93.39.04	Direitos Autorais 
3.3.93.39.05	 Serviços Técnicos Profissionais 
3.3.93.39.06	Capatazia, Estiva e Pesagem 
3.3.93.39.07	Descontos Financeiros Concedidos 
3.3.93.39.09	Armazenagem 
3.3.93.39.10	Locação de Imóveis 
3.3.93.39.12	Locação de Máquinas e Equipamentos 
3.3.93.39.13	Locação de Bens Móveis Tangíveis ou Intangíveis, de Outras Naturezas 
3.3.93.39.14	Manutenção e Conservação de Bens Imóveis 
3.3.93.39.15	Manutenção e Conservação de Máquinas e Equipamentos 
3.3.93.39.16	 Manutenção e Conservação de Veículos 
3.3.93.39.17	Manutenção e Conservação de Bens Móveis de Outras Naturezas 
3.3.93.39.18	Manutenção e Conservação de Estradas ou Outras Vias 
3.3.93.39.19	Exposições, Congressos e Conferências 
3.3.93.39.20	Festividades e Homenagens 
3.3.93.39.21	Multas Dedutíveis 
3.3.93.39.22	Multas Indedutíveis 
3.3.93.39.23	Juros 
3.3.93.39.24	Encargos Financeiros Dedutíveis 
3.3.93.39.25	Encargos Financeiros Indedutíveis 
3.3.93.39.26	Programa de Alimentação do Trabalhador 
3.3.93.39.27	Fornecimento de Alimentação 
3.3.93.39.28	Serviços de Caráter Secreto ou Reservado 
3.3.93.39.29	Serviços de Energia Elétrica 
3.3.93.39.30	Serviços de Água e Esgoto 
3.3.93.39.31	Serviços de Gás 
3.3.93.39.32	Serviços Domésticos 
3.3.93.39.33	Serviços de Comunicação em Geral 
3.3.93.39.34	Serviço de Seleção e Treinamento 
3.3.93.39.35	Produções Jornalísticas 
3.3.93.39.36	Serviço Médico-hospitalar, Odontológico e Laboratorial 
3.3.93.39.37	Serviços de Análises e Pesquisas Científicas 
3.3.93.39.38	Serviços de Reabilitação Profissional 
3.3.93.39.39	Serviços de Assistência Social 
3.3.93.39.40	Serviços de Creches e Assistência Pré-escolar 
3.3.93.39.41	 Serviços de Perícias Médicas por Benefícios 
3.3.93.39.43	Serviços de Telecomunicações 
3.3.93.39.44	Serviços de Áudio, Vídeo e Foto 
3.3.93.39.45	 Serviços de Manobra e Patrulhamento 
3.3.93.39.46	Serviços de Socorro e Salvamento 
3.3.93.39.47	Serviços de Produção Industrial 
3.3.93.39.48	 Serviços Gráficos 
3.3.93.39.49	Serviços de Apoio ao Ensino 
3.3.93.39.50	Serviços Judiciários 
3.3.93.39.51	Serviços Funerários 
3.3.93.39.52	Serviço de Conservação e Rebeneficiamento de Mercadorias 
3.3.93.39.53	Seguros em Geral 
3.3.93.39.54	Confecção de Uniformes, Bandeiras e Flâmulas 
3.3.93.39.55	Confecção de Material de Acondicionamento e Embalagem 
3.3.93.39.56	Vale-Transporte 
3.3.93.39.57	Transporte Escolar 
3.3.93.39.58	Fretes e Transportes de Encomendas 
3.3.93.39.59	Classificação de Produtos 
3.3.93.39.60	Vigilância Ostensiva 
3.3.93.39.61	Limpeza e Conservação 
3.3.93.39.62	Serviço de Apoio Administrativo, Técnico e Operacional 
3.3.93.39.63	Hospedagens 
3.3.93.39.64	Serviços Bancários 
3.3.93.39.65	Serviços de Cópias e Reprodução de Documentos
3.3.93.39.66	Serviços em Itens Reparáveis de Aviação
3.3.93.39.67	Serviços Relacionados à Industrialização Aeroespacial 
3.3.93.39.68	Serviços de Publicidade e Propaganda 
3.3.93.39.69	Manutenção de Repartições – Serviço Exterior 
3.3.93.39.70	Aquisição de Softwares de Aplicação 
3.3.93.39.73	Locação de Veículos para Transporte de Cargas
3.3.93.39.99	 Outros Serviços de Terceiros – Pessoa Jurídica
3.3.93.40.00	Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.93.40.01	Locação de Equipamentos de TIC
3.3.93.40.02	Locação de Softwares
3.3.93.40.03	Desenvolvimento de Software
3.3.93.40.04	Manutenção de Software 
3.3.93.40.05	Hospedagens de Sistemas
3.3.93.40.06	Comunicação de Dados
3.3.93.40.07	Suporte a Usuários de TIC
3.3.93.40.08	Suporte de Infraestrutura de TIC
3.3.93.40.09	Serviços Técnicos Profissionais de TIC 
3.3.93.40.10	Manutenção e Conservação de Equipamentos de TIC
3.3.93.40.11	Treinamento e Capacitação em TIC
3.3.93.40.99	Outros Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
3.3.93.91.00	Sentenças Judiciais
3.3.93.99.00	A Classificar
3.3.94.00.00	Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe 
3.3.94.30.00	Material de Consumo
3.3.94.30.01	Combustíveis Automotivos 
3.3.94.30.02	Lubrificantes Automotivos
3.3.94.30.03	Combustíveis e Lubrificantes para Outras Finalidades 
3.3.94.30.04	Gás Engarrafado 
3.3.94.30.05	Explosivos e Munições 
3.3.94.30.06	Alimentos para Animais
3.3.94.30.07	Gêneros de Alimentação
3.3.94.30.08	Animais para Pesquisa e Abate
3.3.94.30.09	Medicamentos
3.3.94.30.10	Material Odontológico
3.3.94.30.11	Material Químico
3.3.94.30.12	Material de Coudelaria ou de Uso Zootécnico 
3.3.94.30.13	Material de Caça e Pesca 
3.3.94.30.14	Material Educativo e Esportivo
3.3.94.30.15	Material para Festividades e Homenagens
3.3.94.30.16	Material de Expediente
3.3.94.30.17	Material de Processamento de Dados
3.3.94.30.18	Materiais e Medicamentos para Uso Veterinário
3.3.94.30.19	Material de Acondicionamento e Embalagem
3.3.94.30.20	Material de Cama, Mesa e Banho
3.3.94.30.21	Material de Copa e Cozinha
3.3.94.30.22	Material de Limpeza e Produção de Higienização
3.3.94.30.23	Uniformes, Tecidos e Aviamentos
3.3.94.30.24	Material para Manutenção de Bens Imóveis
3.3.94.30.25	Material para Manutenção de Bens Móveis
3.3.94.30.26	Material Elétrico e Eletrônico
3.3.94.30.27	Material de Manobra e Patrulhamento
3.3.94.30.28	Material de Proteção e Segurança
3.3.94.30.29	Material para Áudio, Vídeo e Foto
3.3.94.30.30	Material para Comunicações
3.3.94.30.31	Sementes, Mudas de Plantas e Insumos
3.3.94.30.32	Material Para Produção Industrial
3.3.94.30.33	Sobressalentes, Máquinas, Motores e Embarcações
3.3.94.30.34	Material Laboratorial
3.3.94.30.35	Material Hospitalar
3.3.94.30.36	Suprimento de Proteção ao Vôo
3.3.94.30.37	Material para Manutenção de Veículos
3.3.94.30.38	Material Biológico
3.3.94.30.39	 Material Gráfico
3.3.94.30.40	 Ferramentas
3.3.94.30.41	 Material para Reabilitação Profissional
3.3.94.30.42	 Material de Sinalização Visual e Afins
3.3.94.30.43	 Material Técnico para Seleção e Treinamento
3.3.94.30.44	 Material Bibliográfico Não Imobilizável
3.3.94.30.45	 Aquisição de Softwares de Base
3.3.94.30.46	 Bens Móveis Não Ativáveis
3.3.94.30.47	 Bandeiras, Flâmulas e Insígnias
